time(s),Pitch (Hz)
4.13315,125.641
4.31891,133.636
4.41179,132.831
4.50467,138.679
4.59755,132.036
5.24771,128.947
5.34059,114.249
5.43347,120.163
5.71211,114.545
5.80499,106.522
5.89787,95.4545
5.99075,92.8421
6.17651,118.231
6.26939,109.158
7.84834,138.245
8.0341,149.492
8.4985,156.383
8.68426,152.595
8.77714,137.813
8.9629,117.914
9.33442,109.701
9.4273,105.502
9.61306,108.621
9.70594,106.522
9.79882,102.558
9.98458,109.158
10.0775,108.621
11.5635,152.595
11.6564,148.485
11.8422,145.545
12.0279,138.679
12.2137,108.088
12.5852,130.473
12.9567,119.189
13.0496,110.526
13.3283,103.279
13.4211,100.227
13.6069,109.429
13.6998,102.558
13.7927,99.1011
13.8855,110.526
