time(s),f1 (Hz),f2 (Hz),f3 (Hz),f4 (Hz),f5 (Hz)
4.87619,211.466,1708.89,4983.79,0.0,0.0
4.96907,279.111,1578.45,2389.44,3855.41,4927.63
5.06195,259.001,1557.82,2617.34,4100.89,4955.52
5.15483,195.701,1645.52,4967.48,0.0,0.0
5.24771,116.998,0.0,0.0,0.0,0.0
6.36227,355.583,1647.63,2518.38,3776.14,4855.79
6.45515,112.756,1637.54,2481.22,4849.33,0.0
6.54803,292.881,0.0,0.0,0.0,0.0
6.64091,426.891,1616.7,2526.34,4743.6,0.0
6.82667,632.539,1806.85,2515.27,4366.3,0.0
7.66259,4046.92,0.0,0.0,0.0,0.0
7.75547,1409.59,2538.45,0.0,0.0,0.0
8.21986,822.228,1627.19,4936.94,0.0,0.0
8.31274,194.318,1677.68,0.0,0.0,0.0
8.40562,2024.94,3402.1,0.0,0.0,0.0
8.77714,321.154,1965.5,4575.74,0.0,0.0
8.87002,376.113,1988.17,2298.51,3927.22,4596.94
8.9629,168.482,2221.15,0.0,0.0,0.0
9.05578,132.701,1779.33,2977.53,4432.27,0.0
9.33442,1910.08,0.0,0.0,0.0,0.0
9.4273,369.975,2148.55,4514.03,0.0,0.0
9.52018,742.861,0.0,0.0,0.0,0.0
9.61306,664.174,1473.72,0.0,0.0,0.0
9.70594,393.371,1987.08,4504.75,0.0,0.0
11.2849,157.08,1960.05,4401.98,0.0,0.0
11.3778,321.567,2193.59,0.0,0.0,0.0
11.4707,408.833,2200.82,3048.14,4399.69,0.0
11.5635,261.446,4646.07,0.0,0.0,0.0
11.6564,1738.38,4622.14,0.0,0.0,0.0
